order_id,customer_id,order_date,amount
1,3123,2024-11-10,44223.9
2,8168,2025-05-19,3380.83
3,5191,2024-07-08,19968.18
4,4576,2024-12-27,35874.99
5,7728,2024-08-24,23985.39
6,1798,2025-01-06,20598.68
7,2132,2025-06-14,20530.73
8,7323,2025-01-30,28787.54
9,6501,2025-08-22,6353.81
10,816,2025-03-05,15919.68
11,8635,2025-04-28,3800.83
12,6667,2026-05-10,23345.08
13,143,2024-07-20,25916.26
14,1411,2025-01-06,6503.9
15,535,2025-11-17,41469.78
16,9909,2025-05-01,27610.04
17,3365,2025-01-01,29430.52
18,1033,2025-01-07,38412.3
19,3343,2026-03-16,6538.74
20,9603,2024-06-15,25192.9
21,6086,2024-10-21,43423.76
22,4501,2025-05-22,41586.4
23,1173,2025-09-30,25953.3
24,9081,2026-02-26,15275.81
25,4518,2024-09-12,8182.15
26,8008,2026-01-08,46743.42
27,1642,2024-12-20,11350.97
28,472,2025-08-28,47379.41
29,2941,2024-10-07,25993.0
30,8739,2024-05-29,14274.01
31,4727,2025-01-03,4035.11
32,7671,2024-12-19,9895.47
33,3724,2024-07-18,47821.95
34,364,2025-09-19,13795.11
35,3310,2025-02-04,31288.62
36,546,2026-01-12,30759.97
37,3241,2025-05-15,4762.08
38,6666,2024-12-31,32085.27
39,1937,2025-02-21,29631.24
40,9155,2025-08-19,29074.26
41,883,2024-08-09,8642.91
42,3841,2026-05-21,31261.51
43,6924,2025-12-04,45109.84
44,9063,2026-05-01,16947.22
45,4612,2026-03-04,46204.09
46,9058,2024-07-02,2155.6
47,5205,2025-10-28,43202.68
48,7289,2026-05-02,4153.02
49,3204,2025-06-19,47432.49
50,2245,2024-07-18,38574.02
51,19,2025-08-08,13306.33
52,642,2025-06-08,10619.34
53,3084,2026-02-28,28649.65
54,5201,2025-01-22,30943.61
55,8522,2024-10-20,1611.27
56,866,2026-04-19,44460.94
57,774,2025-04-08,27324.32
58,4733,2025-05-20,32131.17
59,3519,2025-10-02,15174.5
60,6796,2024-11-02,12319.41
61,6985,2025-02-18,40386.73
62,2568,2024-10-02,20364.02
63,1675,2024-08-18,22731.85
64,740,2024-10-06,34461.82
65,1546,2026-02-02,7988.21
66,9328,2025-07-25,20839.53
67,5128,2025-03-17,23275.66
68,6948,2026-02-05,17075.61
69,6621,2025-06-10,7269.07
70,9066,2025-11-09,43088.11
71,4556,2025-01-02,16033.89
72,5646,2025-04-18,49402.37
73,8944,2024-07-25,17333.99
74,7125,2024-11-23,19995.96
75,9046,2025-02-08,38057.18
76,3733,2026-02-18,25797.51
